F,G,H,L,M,N,sigma0,k,n
0.1238,0.3617,0.6383,1.5,1.5,1.6137,235.8,556.03,0.196
0.1822,0.4325,0.5675,1.5,1.5,2.7569,133.02,611.19,0.296
0.2673,0.4221,0.5779,1.5,1.5,4.2233,207.15,521.4,0.202
0.1528,0.3906,0.6094,1.5,1.5,3.0763,187.71,401.98,0.287
0.4415,0.1691,0.8309,1.5,1.5,1.4831,203.21,640.03,0.221
0.1514,0.1808,0.8192,1.5,1.5,0.4272,152.81,483.95,0.235
0.1717,0.2471,0.7529,1.5,1.5,2.3848,234.12,609.8,0.171
0.1228,0.3167,0.6833,1.5,1.5,1.0894,142.28,532.0,0.288
0.1505,0.1901,0.8099,1.5,1.5,1.1561,253.87,681.19,0.191
0.5748,0.2119,0.7881,1.5,1.5,3.0895,171.29,485.71,0.202
0.9458,0.2557,0.7443,1.5,1.5,2.4077,125.96,423.49,0.246
0.1264,0.4062,0.5938,1.5,1.5,2.7844,212.33,485.11,0.207
0.1849,0.3542,0.6458,1.5,1.5,2.0256,167.39,693.52,0.185
0.2909,0.2201,0.7799,1.5,1.5,3.0099,285.77,627.46,0.193
0.1674,0.5053,0.4947,1.5,1.5,1.8054,159.29,639.91,0.237
0.1481,0.2402,0.7598,1.5,1.5,1.7498,247.83,549.64,0.215
0.1509,0.3647,0.6353,1.5,1.5,1.3673,274.42,646.34,0.281
0.1577,0.5195,0.4805,1.5,1.5,2.7663,124.12,543.63,0.201
0.2293,0.2424,0.7576,1.5,1.5,2.4588,159.32,562.69,0.172
0.1811,0.4316,0.5684,1.5,1.5,3.3446,181.73,522.98,0.256
0.2111,0.2934,0.7066,1.5,1.5,1.7139,190.03,632.47,0.228
0.4046,0.2081,0.7919,1.5,1.5,1.2801,125.68,471.74,0.219
0.1069,0.5498,0.4502,1.5,1.5,1.0946,199.73,620.05,0.212
0.2475,0.266,0.734,1.5,1.5,1.79,179.32,665.01,0.234
0.2564,0.2177,0.7823,1.5,1.5,1.1122,234.78,621.57,0.25
0.3782,0.1567,0.8433,1.5,1.5,2.7646,282.31,643.82,0.239
0.2206,0.1633,0.8367,1.5,1.5,1.8982,168.38,513.92,0.27
0.46,0.2507,0.7493,1.5,1.5,1.4,167.57,604.95,0.228
0.1467,0.3144,0.6856,1.5,1.5,0.6488,160.25,639.16,0.232
0.4888,0.1431,0.8569,1.5,1.5,3.4623,174.48,560.41,0.222
0.9733,0.2623,0.7377,1.5,1.5,5.3251,262.25,640.96,0.235
0.5933,0.1652,0.8348,1.5,1.5,4.5822,125.5,671.61,0.292
0.2078,0.2127,0.7873,1.5,1.5,1.2792,127.76,677.3,0.194
0.1428,0.2129,0.7871,1.5,1.5,1.9822,225.23,605.94,0.285
0.1859,0.263,0.737,1.5,1.5,2.0725,136.27,587.23,0.278
0.1438,0.1843,0.8157,1.5,1.5,1.9531,244.42,521.96,0.197
0.4156,0.1442,0.8558,1.5,1.5,2.4465,171.13,495.07,0.233
0.1736,0.2685,0.7315,1.5,1.5,0.7502,177.74,575.24,0.258
0.1436,0.1479,0.8521,1.5,1.5,0.9088,297.26,691.57,0.212
0.1153,0.3316,0.6684,1.5,1.5,2.8636,171.35,346.68,0.288
0.1924,0.2063,0.7937,1.5,1.5,2.3915,205.39,697.4,0.171
0.0822,0.5764,0.4236,1.5,1.5,2.2741,135.99,567.54,0.234
0.1884,0.3942,0.6058,1.5,1.5,3.4772,139.35,306.19,0.283
0.1771,0.2226,0.7774,1.5,1.5,0.6023,202.4,588.84,0.206
0.3404,0.2388,0.7612,1.5,1.5,1.0334,212.6,655.7,0.247
0.2828,0.1711,0.8289,1.5,1.5,2.2549,124.61,419.21,0.272
0.1235,0.3339,0.6661,1.5,1.5,1.7577,131.75,368.23,0.227
0.8923,0.1755,0.8245,1.5,1.5,4.6856,165.63,437.34,0.293
0.4955,0.1582,0.8418,1.5,1.5,1.0184,176.22,688.88,0.204
0.1029,0.4509,0.5491,1.5,1.5,2.2581,185.98,540.02,0.222
0.1582,0.2055,0.7945,1.5,1.5,1.7625,237.21,644.52,0.217
0.5145,0.2617,0.7383,1.5,1.5,4.6642,243.8,555.35,0.221
0.2261,0.1878,0.8122,1.5,1.5,2.1123,274.37,596.96,0.264
0.136,0.4708,0.5292,1.5,1.5,3.2881,136.51,446.91,0.276
0.1986,0.225,0.775,1.5,1.5,1.8236,168.12,698.23,0.298
0.2133,0.2067,0.7933,1.5,1.5,1.3681,166.28,681.24,0.27
0.3368,0.2217,0.7783,1.5,1.5,2.6635,219.54,481.66,0.268
0.1399,0.4511,0.5489,1.5,1.5,0.7717,219.31,690.4,0.226
0.1907,0.2098,0.7902,1.5,1.5,1.1663,248.19,649.92,0.259
0.3619,0.1597,0.8403,1.5,1.5,3.1711,187.64,403.02,0.238
0.1886,0.2297,0.7703,1.5,1.5,2.6283,120.4,315.84,0.18
0.1839,0.148,0.852,1.5,1.5,0.6729,124.08,348.48,0.191
0.1806,0.1683,0.8317,1.5,1.5,1.907,207.7,644.6,0.203
0.1146,0.3452,0.6548,1.5,1.5,1.0589,148.6,594.72,0.229
0.1869,0.203,0.797,1.5,1.5,1.8154,189.54,384.33,0.254
0.2043,0.1579,0.8421,1.5,1.5,2.3316,154.21,495.1,0.159
0.1183,0.4189,0.5811,1.5,1.5,2.0518,146.6,383.12,0.202
0.2159,0.1978,0.8022,1.5,1.5,2.1399,185.79,564.47,0.211
0.5362,0.1715,0.8285,1.5,1.5,4.2055,286.05,620.68,0.262
0.2862,0.2378,0.7622,1.5,1.5,1.5353,284.48,679.62,0.27
0.1536,0.1777,0.8223,1.5,1.5,2.0453,268.58,552.54,0.255
0.1256,0.3691,0.6309,1.5,1.5,0.8782,267.15,681.93,0.225
0.3254,0.2717,0.7283,1.5,1.5,3.3918,153.58,597.3,0.259
0.6674,0.1691,0.8309,1.5,1.5,5.2314,245.39,625.0,0.242
0.2634,0.4537,0.5463,1.5,1.5,4.5408,243.49,685.03,0.27
0.3714,0.1797,0.8203,1.5,1.5,1.5098,188.8,624.73,0.251
0.2172,0.5467,0.4533,1.5,1.5,1.9419,130.4,688.95,0.255
0.2719,0.1872,0.8128,1.5,1.5,2.5499,133.5,659.71,0.175
0.0979,0.4148,0.5852,1.5,1.5,2.1019,148.65,494.46,0.257
0.2262,0.1852,0.8148,1.5,1.5,1.6407,267.1,681.88,0.263
0.3559,0.2927,0.7073,1.5,1.5,1.6743,178.07,529.34,0.248
0.1617,0.1734,0.8266,1.5,1.5,2.0632,175.26,376.1,0.23
0.163,0.1781,0.8219,1.5,1.5,0.5199,175.13,499.71,0.282
0.2707,0.1438,0.8562,1.5,1.5,1.0143,210.82,624.85,0.182
0.0884,0.5432,0.4568,1.5,1.5,2.8465,130.07,352.01,0.258
0.1376,0.3729,0.6271,1.5,1.5,1.1623,122.57,438.77,0.294
0.1452,0.1619,0.8381,1.5,1.5,1.2222,126.01,288.35,0.174
0.2128,0.2274,0.7726,1.5,1.5,2.495,198.77,600.07,0.229
0.2256,0.1806,0.8194,1.5,1.5,1.617,206.3,678.91,0.255
0.3142,0.262,0.738,1.5,1.5,3.1828,132.15,608.06,0.247
0.3803,0.3744,0.6256,1.5,1.5,1.9011,149.46,609.14,0.274
0.2101,0.1595,0.8405,1.5,1.5,2.3631,248.85,479.74,0.253
0.2192,0.3208,0.6792,1.5,1.5,3.499,287.94,607.23,0.196
0.8057,0.1467,0.8533,1.5,1.5,3.0193,264.81,659.0,0.278
0.4974,0.512,0.488,1.5,1.5,5.5712,255.23,687.11,0.225
0.8012,0.3406,0.6594,1.5,1.5,6.2001,217.04,684.29,0.258
0.2142,0.3179,0.6821,1.5,1.5,2.4963,239.18,665.35,0.176
0.1222,0.3054,0.6946,1.5,1.5,2.0081,263.37,614.11,0.269
0.3155,0.2317,0.7683,1.5,1.5,0.9599,150.92,504.78,0.242
0.1549,0.2612,0.7388,1.5,1.5,0.6412,214.97,515.3,0.226
0.7554,0.2779,0.7221,1.5,1.5,3.3126,161.75,383.05,0.239
0.1241,0.439,0.561,1.5,1.5,2.2395,126.47,639.83,0.259
0.1801,0.1604,0.8396,1.5,1.5,1.9218,158.47,601.51,0.218
0.1656,0.2114,0.7886,1.5,1.5,1.9192,182.45,392.22,0.26
0.2374,0.1656,0.8344,1.5,1.5,1.8469,261.74,630.91,0.176
0.5014,0.286,0.714,1.5,1.5,2.6748,250.63,662.18,0.245
0.9594,0.1845,0.8155,1.5,1.5,3.6331,243.03,659.16,0.271
0.4012,0.1715,0.8285,1.5,1.5,2.847,188.01,586.91,0.221
0.1221,0.3031,0.6969,1.5,1.5,2.3648,157.45,555.01,0.279
0.1634,0.1777,0.8223,1.5,1.5,1.1451,254.24,573.59,0.194
0.4134,0.1506,0.8494,1.5,1.5,1.6201,227.26,554.03,0.233
0.2721,0.2441,0.7559,1.5,1.5,2.3636,176.87,449.41,0.236
0.1126,0.435,0.565,1.5,1.5,1.503,243.4,638.02,0.292
0.1883,0.2051,0.7949,1.5,1.5,1.5763,160.18,363.73,0.18
0.1347,0.2032,0.7968,1.5,1.5,1.1677,170.84,606.51,0.232
0.253,0.149,0.851,1.5,1.5,1.9512,158.99,494.68,0.294
0.2422,0.1777,0.8223,1.5,1.5,2.2199,256.31,515.72,0.206
0.1431,0.2179,0.7821,1.5,1.5,1.5507,145.47,462.06,0.208
0.2113,0.1693,0.8307,1.5,1.5,1.458,228.69,515.84,0.219
0.1472,0.1819,0.8181,1.5,1.5,0.6038,168.22,399.73,0.271
0.1672,0.1508,0.8492,1.5,1.5,0.8257,245.44,579.27,0.222
0.6115,0.1659,0.8341,1.5,1.5,3.5769,154.26,523.53,0.254
1.1778,0.2792,0.7208,1.5,1.5,5.6298,190.24,628.7,0.292
0.2165,0.1635,0.8365,1.5,1.5,2.0218,168.17,517.72,0.28
0.1876,0.1539,0.8461,1.5,1.5,1.6865,159.91,375.14,0.24
0.2024,0.4686,0.5314,1.5,1.5,2.5349,163.88,616.15,0.273
0.2186,0.2958,0.7042,1.5,1.5,3.2501,191.76,407.82,0.218
0.5251,0.1678,0.8322,1.5,1.5,2.6993,183.65,457.36,0.229
0.1347,0.318,0.682,1.5,1.5,1.4045,178.98,573.53,0.255
0.2542,0.1867,0.8133,1.5,1.5,0.6239,202.53,625.45,0.24
0.0881,0.4864,0.5136,1.5,1.5,1.8474,255.37,650.1,0.209
0.4095,0.2141,0.7859,1.5,1.5,3.1869,195.54,596.65,0.273
0.1734,0.3012,0.6988,1.5,1.5,2.8754,296.99,631.89,0.196
0.1859,0.3006,0.6994,1.5,1.5,1.0687,181.21,583.6,0.263
0.1409,0.269,0.731,1.5,1.5,0.6635,235.18,568.13,0.256
0.3749,0.2531,0.7469,1.5,1.5,2.7075,174.68,491.26,0.234
0.1512,0.2758,0.7242,1.5,1.5,2.3142,168.32,529.69,0.24
0.1877,0.1807,0.8193,1.5,1.5,0.4922,123.43,322.02,0.295
0.33,0.196,0.804,1.5,1.5,3.1743,158.94,370.52,0.265
0.183,0.1601,0.8399,1.5,1.5,0.7009,222.68,550.33,0.293
0.1676,0.1614,0.8386,1.5,1.5,1.7901,189.77,494.42,0.193
0.1531,0.1714,0.8286,1.5,1.5,1.8184,154.06,401.23,0.248
0.1647,0.1881,0.8119,1.5,1.5,1.1872,253.57,654.18,0.179
0.377,0.186,0.814,1.5,1.5,1.5382,195.06,498.51,0.26
0.3195,0.2229,0.7771,1.5,1.5,1.8312,217.54,515.48,0.215
0.1812,0.1659,0.8341,1.5,1.5,1.1539,230.5,522.47,0.228
0.1243,0.4235,0.5765,1.5,1.5,1.3905,148.24,401.42,0.253
0.1933,0.4156,0.5844,1.5,1.5,2.1167,215.26,657.72,0.23
0.1507,0.2281,0.7719,1.5,1.5,1.0741,133.2,470.68,0.244
0.1543,0.1618,0.8382,1.5,1.5,0.9343,216.64,527.57,0.28
0.2285,0.1464,0.8536,1.5,1.5,1.117,230.98,659.72,0.176
0.165,0.4112,0.5888,1.5,1.5,3.7157,189.59,569.43,0.288
0.1853,0.1634,0.8366,1.5,1.5,1.1843,180.03,478.33,0.232
0.1879,0.2227,0.7773,1.5,1.5,1.9729,184.05,578.54,0.176
0.1673,0.1527,0.8473,1.5,1.5,0.4686,233.0,647.02,0.279
0.1988,0.2789,0.7211,1.5,1.5,1.7245,144.73,379.64,0.203
0.1951,0.1771,0.8229,1.5,1.5,1.3461,152.48,541.26,0.296
0.4362,0.2166,0.7834,1.5,1.5,1.8147,166.57,632.98,0.185
0.2932,0.1485,0.8515,1.5,1.5,2.8105,190.59,461.89,0.175
0.2091,0.338,0.662,1.5,1.5,2.4815,144.31,351.43,0.227
0.3815,0.2648,0.7352,1.5,1.5,2.9467,138.73,321.79,0.282
0.1292,0.3131,0.6869,1.5,1.5,2.5766,225.85,614.32,0.218
0.3261,0.155,0.845,1.5,1.5,2.6461,129.07,563.79,0.274
0.4156,0.1476,0.8524,1.5,1.5,2.4809,141.16,411.0,0.297
0.3372,0.1489,0.8511,1.5,1.5,1.0602,133.13,460.53,0.282
0.1294,0.2561,0.7439,1.5,1.5,1.5414,152.05,342.63,0.182
0.2028,0.2973,0.7027,1.5,1.5,0.9251,192.36,414.96,0.268
0.2386,0.2179,0.7821,1.5,1.5,2.8002,192.44,459.62,0.197
0.1271,0.3095,0.6905,1.5,1.5,2.8332,291.03,639.97,0.262
0.1413,0.2685,0.7315,1.5,1.5,1.0925,177.2,577.73,0.22
0.1523,0.2955,0.7045,1.5,1.5,0.8128,178.22,623.0,0.208
0.1611,0.3805,0.6195,1.5,1.5,1.3942,141.65,526.14,0.274
0.1305,0.3149,0.6851,1.5,1.5,1.7796,281.05,672.21,0.248
0.3288,0.2315,0.7685,1.5,1.5,2.9649,219.71,461.11,0.217
0.1701,0.1999,0.8001,1.5,1.5,1.3466,283.5,672.9,0.286
0.1729,0.2909,0.7091,1.5,1.5,1.6576,257.96,557.4,0.228
0.5074,0.1907,0.8093,1.5,1.5,3.3405,130.6,674.36,0.186
0.7571,0.2414,0.7586,1.5,1.5,6.1726,124.05,554.44,0.182
0.2208,0.2373,0.7627,1.5,1.5,2.3063,248.09,686.47,0.271
0.1427,0.1516,0.8484,1.5,1.5,1.7653,184.04,370.26,0.251
0.1379,0.2192,0.7808,1.5,1.5,2.2666,185.17,410.24,0.289
0.848,0.3046,0.6954,1.5,1.5,7.3631,289.92,653.82,0.298
0.2017,0.4486,0.5514,1.5,1.5,1.1979,138.95,406.47,0.247
0.1827,0.1485,0.8515,1.5,1.5,1.7018,170.05,625.6,0.296
0.2619,0.4429,0.5571,1.5,1.5,1.5738,130.71,362.66,0.209
0.1725,0.3121,0.6879,1.5,1.5,2.329,191.16,689.92,0.193
0.1182,0.307,0.693,1.5,1.5,2.133,129.42,577.29,0.191
0.1463,0.143,0.857,1.5,1.5,1.7519,189.9,433.22,0.24
0.5298,0.1629,0.8371,1.5,1.5,2.7778,216.45,634.26,0.255
0.2074,0.2398,0.7602,1.5,1.5,2.2254,121.58,586.04,0.194
0.1502,0.2252,0.7748,1.5,1.5,0.5837,147.12,333.84,0.259
0.2237,0.1471,0.8529,1.5,1.5,1.8627,172.47,636.87,0.27
0.585,0.5519,0.4481,1.5,1.5,6.2097,184.64,633.5,0.234
0.3085,0.3066,0.6934,1.5,1.5,3.8974,125.33,496.74,0.196
0.145,0.1686,0.8314,1.5,1.5,0.4361,134.68,325.47,0.242
0.1297,0.3837,0.6163,1.5,1.5,0.6669,182.31,460.39,0.29
0.2929,0.4708,0.5292,1.5,1.5,2.2078,241.38,649.75,0.241
0.7502,0.1462,0.8538,1.5,1.5,4.9888,238.85,694.92,0.251
0.4431,0.217,0.783,1.5,1.5,1.3757,239.8,551.58,0.281
0.1265,0.3587,0.6413,1.5,1.5,2.3013,154.88,453.98,0.293
0.1442,0.1671,0.8329,1.5,1.5,0.3772,157.99,448.56,0.288
0.3197,0.4272,0.5728,1.5,1.5,2.9925,206.1,537.47,0.282
0.3115,0.1585,0.8415,1.5,1.5,1.4525,172.42,471.5,0.285
0.2879,0.3065,0.6935,1.5,1.5,2.5284,150.95,499.4,0.269
0.2313,0.578,0.422,1.5,1.5,3.4382,273.28,647.81,0.204
0.1437,0.2726,0.7274,1.5,1.5,0.5123,209.14,654.52,0.284
0.7966,0.1493,0.8507,1.5,1.5,1.5682,213.09,698.84,0.245
0.2176,0.1778,0.8222,1.5,1.5,1.8431,130.93,447.68,0.26
0.1481,0.4087,0.5913,1.5,1.5,2.4503,150.28,512.11,0.256
0.2001,0.1753,0.8247,1.5,1.5,1.4257,177.55,640.37,0.29
0.8485,0.2228,0.7772,1.5,1.5,4.6429,146.15,661.19,0.267
0.213,0.1677,0.8323,1.5,1.5,0.4942,141.37,474.43,0.195
0.4371,0.2446,0.7554,1.5,1.5,2.5307,168.78,623.21,0.265
0.1283,0.4833,0.5167,1.5,1.5,2.9977,135.41,509.26,0.297
0.4054,0.1791,0.8209,1.5,1.5,2.1726,197.45,454.48,0.274
0.7036,0.314,0.686,1.5,1.5,3.935,185.34,686.61,0.27
0.1805,0.1956,0.8044,1.5,1.5,1.6332,243.51,483.4,0.235
0.672,0.2514,0.7486,1.5,1.5,1.9308,175.97,627.75,0.29
0.3226,0.256,0.744,1.5,1.5,2.465,168.7,611.21,0.163
0.2218,0.1873,0.8127,1.5,1.5,1.1603,218.45,555.78,0.229
0.4216,0.2546,0.7454,1.5,1.5,3.6428,125.73,674.03,0.211
0.5879,0.4297,0.5703,1.5,1.5,6.3847,164.58,619.17,0.173
0.1839,0.2187,0.7813,1.5,1.5,2.1837,196.4,468.57,0.296
0.0883,0.5061,0.4939,1.5,1.5,1.6257,210.54,495.03,0.238
0.1448,0.1467,0.8533,1.5,1.5,0.372,245.81,629.09,0.282
0.2477,0.4203,0.5797,1.5,1.5,2.8887,137.97,308.74,0.24
0.5521,0.152,0.848,1.5,1.5,4.3794,197.98,677.21,0.275
0.2054,0.4124,0.5876,1.5,1.5,1.1861,187.07,593.82,0.295
0.241,0.1954,0.8046,1.5,1.5,1.8579,157.13,670.57,0.259
0.145,0.1631,0.8369,1.5,1.5,0.6118,279.96,631.48,0.295
0.095,0.4388,0.5612,1.5,1.5,0.8653,136.2,602.62,0.294
0.1574,0.1631,0.8369,1.5,1.5,1.2361,137.26,476.8,0.267
0.4219,0.1575,0.8425,1.5,1.5,3.4965,139.28,629.14,0.17
0.1844,0.1451,0.8549,1.5,1.5,1.0204,216.06,590.53,0.185
0.1312,0.3151,0.6849,1.5,1.5,2.5796,240.79,503.52,0.299
0.2553,0.2356,0.7644,1.5,1.5,2.7973,166.49,434.58,0.165
0.6823,0.216,0.784,1.5,1.5,5.8176,216.15,581.89,0.232
0.2814,0.1769,0.8231,1.5,1.5,2.038,231.19,682.61,0.237
0.1313,0.2257,0.7743,1.5,1.5,1.7825,213.05,620.1,0.263
0.3552,0.1741,0.8259,1.5,1.5,1.0586,125.09,475.25,0.223
0.1694,0.1963,0.8037,1.5,1.5,2.2962,142.74,318.96,0.202
0.1389,0.2168,0.7832,1.5,1.5,1.0508,139.6,315.19,0.23
0.1788,0.1701,0.8299,1.5,1.5,2.0478,216.36,418.8,0.236
0.2188,0.3396,0.6604,1.5,1.5,2.7255,122.11,424.34,0.255
0.2782,0.1686,0.8314,1.5,1.5,2.6207,157.09,493.57,0.288
0.1372,0.2031,0.7969,1.5,1.5,0.4564,181.32,456.56,0.237
0.4677,0.1558,0.8442,1.5,1.5,1.7627,124.37,602.39,0.249
0.5963,0.1497,0.8503,1.5,1.5,3.3443,127.43,484.5,0.237
0.1828,0.3278,0.6722,1.5,1.5,1.1186,188.68,512.67,0.206
0.1445,0.1862,0.8138,1.5,1.5,1.4122,183.05,562.99,0.206
0.3988,0.4513,0.5487,1.5,1.5,5.4599,251.41,651.49,0.275
0.1386,0.3008,0.6992,1.5,1.5,2.4413,209.03,519.55,0.282
0.1881,0.2203,0.7797,1.5,1.5,0.8921,184.58,647.76,0.262
0.1887,0.3639,0.6361,1.5,1.5,2.3756,253.06,656.5,0.234
0.1362,0.1887,0.8113,1.5,1.5,1.9002,155.24,349.85,0.247
0.1166,0.3752,0.6248,1.5,1.5,0.8253,299.47,692.17,0.284
0.1374,0.272,0.728,1.5,1.5,1.3074,120.3,564.59,0.255
0.2377,0.1599,0.8401,1.5,1.5,1.1213,126.02,527.35,0.223
0.1693,0.1642,0.8358,1.5,1.5,0.5699,145.3,650.6,0.267
0.2087,0.3311,0.6689,1.5,1.5,2.1507,213.82,559.57,0.197
0.4262,0.3309,0.6691,1.5,1.5,4.762,184.01,645.68,0.281
0.1354,0.2001,0.7999,1.5,1.5,1.0733,263.72,665.23,0.195
0.1256,0.5379,0.4621,1.5,1.5,2.3185,190.74,699.7,0.183
0.8324,0.2567,0.7433,1.5,1.5,4.8659,120.62,410.38,0.29
0.2825,0.2001,0.7999,1.5,1.5,1.1999,129.21,401.55,0.234
0.2313,0.2514,0.7486,1.5,1.5,1.6219,264.71,594.95,0.19
0.4844,0.3127,0.6873,1.5,1.5,1.7424,121.52,693.59,0.273
0.0985,0.4407,0.5593,1.5,1.5,1.168,145.08,405.0,0.269
0.5556,0.3711,0.6289,1.5,1.5,3.1729,255.98,614.33,0.196
0.1756,0.1783,0.8217,1.5,1.5,1.8772,278.09,619.06,0.282
0.2134,0.2171,0.7829,1.5,1.5,1.2694,130.99,651.16,0.251
0.1393,0.2608,0.7392,1.5,1.5,0.6088,156.27,578.22,0.251
0.1399,0.2391,0.7609,1.5,1.5,1.9465,162.22,604.78,0.228
0.7298,0.2527,0.7473,1.5,1.5,2.4631,161.04,635.09,0.293
0.2294,0.184,0.816,1.5,1.5,1.6194,239.03,514.58,0.267
0.2219,0.4454,0.5546,1.5,1.5,2.327,151.59,534.0,0.286
0.6318,0.3018,0.6982,1.5,1.5,3.4564,224.19,577.1,0.222
0.1858,0.191,0.809,1.5,1.5,1.6691,134.85,434.14,0.246
0.1861,0.1903,0.8097,1.5,1.5,2.3057,185.78,368.96,0.258
0.1289,0.2539,0.7461,1.5,1.5,0.7223,158.25,603.38,0.278
0.2195,0.3078,0.6922,1.5,1.5,3.241,123.65,318.57,0.204
0.269,0.3862,0.6138,1.5,1.5,3.2007,127.47,483.72,0.244
0.1404,0.2491,0.7509,1.5,1.5,2.1133,204.21,425.6,0.266
0.1403,0.2013,0.7987,1.5,1.5,1.871,231.56,614.13,0.171
0.1308,0.23,0.77,1.5,1.5,2.323,156.58,463.7,0.225
0.1222,0.3686,0.6314,1.5,1.5,0.8884,246.15,686.98,0.265
0.5226,0.1727,0.8273,1.5,1.5,2.1054,250.38,696.9,0.233
1.0317,0.2046,0.7954,1.5,1.5,2.941,144.24,677.46,0.292
0.1594,0.4398,0.5602,1.5,1.5,3.1643,128.48,457.94,0.214
1.15,0.1973,0.8027,1.5,1.5,6.2245,220.93,680.84,0.192
0.1227,0.2856,0.7144,1.5,1.5,0.8566,180.65,424.97,0.242
0.1858,0.2361,0.7639,1.5,1.5,2.6689,239.23,669.44,0.278
1.0868,0.2273,0.7727,1.5,1.5,7.9108,172.04,503.7,0.209
0.1776,0.3073,0.6927,1.5,1.5,2.7512,216.67,631.81,0.239
0.135,0.3549,0.6451,1.5,1.5,2.9522,219.57,589.83,0.203
0.1185,0.4401,0.5599,1.5,1.5,2.1503,225.99,695.07,0.202
0.5208,0.3563,0.6437,1.5,1.5,3.7671,290.11,657.49,0.238
0.1383,0.1824,0.8176,1.5,1.5,1.2387,192.27,599.25,0.186
0.1634,0.2528,0.7472,1.5,1.5,2.4081,243.58,698.96,0.193
1.2107,0.2506,0.7494,1.5,1.5,5.4521,237.72,693.13,0.235
0.2482,0.2116,0.7884,1.5,1.5,2.8326,237.71,497.68,0.256
0.135,0.1966,0.8034,1.5,1.5,1.701,142.82,493.24,0.267
0.1948,0.1684,0.8316,1.5,1.5,2.2504,143.23,643.09,0.278
0.3104,0.4335,0.5665,1.5,1.5,3.3624,176.64,525.54,0.249
0.1601,0.1456,0.8544,1.5,1.5,1.7247,217.61,443.8,0.202
0.4269,0.3529,0.6471,1.5,1.5,4.7486,167.16,532.84,0.219
0.2853,0.3883,0.6117,1.5,1.5,4.2715,203.51,684.23,0.259
0.1278,0.3025,0.6975,1.5,1.5,2.3311,160.74,689.48,0.194
0.1539,0.3851,0.6149,1.5,1.5,2.2319,133.82,617.69,0.199
0.7658,0.3322,0.6678,1.5,1.5,2.0434,134.41,629.61,0.254
0.3551,0.1797,0.8203,1.5,1.5,2.3169,250.17,564.91,0.239
0.3918,0.2094,0.7906,1.5,1.5,2.8982,264.17,589.98,0.237
0.2222,0.1841,0.8159,1.5,1.5,1.0801,178.38,689.51,0.292
0.1203,0.3142,0.6858,1.5,1.5,0.9907,155.38,500.09,0.267
0.2137,0.1522,0.8478,1.5,1.5,1.3318,188.52,663.5,0.296
0.1994,0.1806,0.8194,1.5,1.5,0.9908,198.07,541.97,0.251
0.1394,0.1819,0.8181,1.5,1.5,0.4906,154.76,374.98,0.28
0.0965,0.4904,0.5096,1.5,1.5,2.4904,209.85,467.26,0.285
0.2311,0.2364,0.7636,1.5,1.5,1.1271,160.87,571.87,0.217
0.2633,0.2308,0.7692,1.5,1.5,3.2041,173.04,433.69,0.222
0.2796,0.22,0.78,1.5,1.5,1.2049,223.75,641.17,0.236
0.1984,0.237,0.763,1.5,1.5,1.9265,235.01,574.9,0.276
0.4342,0.5845,0.4155,1.5,1.5,2.9654,183.17,522.73,0.244
0.3921,0.2249,0.7751,1.5,1.5,3.8041,178.89,520.46,0.254
0.19,0.4052,0.5948,1.5,1.5,1.7297,275.69,696.32,0.194
0.1536,0.5698,0.4302,1.5,1.5,2.9225,156.15,656.61,0.234
0.3126,0.2205,0.7795,1.5,1.5,2.7787,171.24,553.64,0.229
0.2327,0.2479,0.7521,1.5,1.5,3.1225,221.44,525.2,0.227
0.2217,0.1931,0.8069,1.5,1.5,1.6092,125.15,502.76,0.234
0.2983,0.2027,0.7973,1.5,1.5,2.2313,158.8,510.38,0.233
0.1916,0.1928,0.8072,1.5,1.5,0.5836,133.36,399.1,0.273
0.1651,0.1521,0.8479,1.5,1.5,1.2757,161.88,411.65,0.215
0.9198,0.3801,0.6199,1.5,1.5,8.2605,162.36,560.38,0.251
0.2083,0.1491,0.8509,1.5,1.5,0.8116,154.29,642.17,0.278
0.1755,0.4055,0.5945,1.5,1.5,2.7428,151.64,354.95,0.212
0.3151,0.4634,0.5366,1.5,1.5,4.9784,262.05,663.71,0.215
1.2686,0.1881,0.8119,1.5,1.5,6.1283,165.42,483.8,0.237
0.1968,0.2751,0.7249,1.5,1.5,1.5921,247.37,609.58,0.186
0.49,0.1729,0.8271,1.5,1.5,3.5862,235.95,638.6,0.218
0.207,0.456,0.544,1.5,1.5,3.3329,152.43,398.08,0.186
0.1877,0.4805,0.5195,1.5,1.5,3.1456,243.85,581.12,0.292
0.157,0.2933,0.7067,1.5,1.5,1.5171,171.66,561.23,0.289
0.6622,0.3107,0.6893,1.5,1.5,4.3156,198.87,557.36,0.192
0.9328,0.2985,0.7015,1.5,1.5,7.8904,222.83,598.49,0.272
0.803,0.4026,0.5974,1.5,1.5,3.7276,223.08,523.38,0.226
0.2178,0.1995,0.8005,1.5,1.5,2.5289,139.72,629.3,0.271
0.222,0.5023,0.4977,1.5,1.5,3.0687,124.44,407.72,0.211
0.2349,0.5685,0.4315,1.5,1.5,2.7613,196.06,560.61,0.261
0.8035,0.1587,0.8413,1.5,1.5,3.7758,124.42,453.89,0.269
0.2029,0.3383,0.6617,1.5,1.5,2.7496,127.53,680.67,0.207
0.3362,0.1575,0.8425,1.5,1.5,2.347,160.95,479.83,0.208
0.5127,0.1433,0.8567,1.5,1.5,1.3631,224.05,536.76,0.241
